iter	Logloss
306	0.3964578647
307	0.396326363
308	0.3962224216
309	0.3961305891
310	0.396021387
311	0.395949282
312	0.3958838436
313	0.3958256967
314	0.3956890252
315	0.3956190854
316	0.3955634853
317	0.3954796237
318	0.3954073334
319	0.3952783566
320	0.3951795923
321	0.3950508844
322	0.3949005309
323	0.3948389072
324	0.3946969568
325	0.3945654006
326	0.3944733938
327	0.3943666513
328	0.3942612021
329	0.3941477639
330	0.3940308852
331	0.3939191146
332	0.393809324
333	0.3937329501
334	0.3936671193
335	0.3935635812
336	0.3934601811
337	0.3933440544
338	0.3931585766
339	0.3930980355
340	0.392983878
341	0.3929062398
342	0.3927903748
343	0.3927136376
344	0.3926340666
345	0.3925496492
346	0.3924225725
347	0.3922923569
348	0.392166857
349	0.3920327577
350	0.3918409656
351	0.3917144485
352	0.3916078186
353	0.3914541008
354	0.3912944285
355	0.3912151191
356	0.3911464982
357	0.3910765221
358	0.3909656888
359	0.3908953494
360	0.3907568287
361	0.3906209492
362	0.3904834348
363	0.3903855242
364	0.3902884056
365	0.3901192038
366	0.3900406356
367	0.3899735115
368	0.389885995
369	0.389736092
370	0.3895932879
371	0.389491232
372	0.3893651799
373	0.3892983936
374	0.3891957674
375	0.389020858
376	0.3888473692
377	0.3887497566
378	0.3886835807
379	0.3885759808
380	0.3884755852
381	0.3883467138
382	0.3882571992
383	0.3881816174
384	0.3880526334
385	0.3879110645
386	0.3878150686
387	0.3876426115
388	0.387481555
389	0.3873547799
390	0.3872196633
391	0.3871601686
392	0.3870411282
393	0.3869593993
394	0.3868209367
395	0.3867128899
396	0.3866251664
397	0.3865223476
398	0.386377044
399	0.3862768337
400	0.3861798677
401	0.3860812959
402	0.385895353
403	0.3857905724
404	0.3857067399
405	0.3856493232
406	0.3855053021
407	0.3853389159
408	0.3852300953
409	0.3851316361
410	0.3850298963
411	0.3849527631
412	0.3849000113
413	0.384804593
414	0.3846636709
415	0.3845545378
416	0.3844007692
417	0.3843263644
418	0.3842259725
419	0.3841192772
420	0.3839721607
421	0.3838177309
422	0.3837761361
423	0.383704289
424	0.3836223748
425	0.3834674835
426	0.3833689154
427	0.3832962
428	0.3831821841
429	0.3830826787
430	0.3829062435
431	0.3828632827
432	0.3827860769
433	0.3827043334
434	0.3826198106
435	0.38247915
436	0.3823507545
437	0.3822707803
438	0.3822662971
439	0.3821444303
440	0.3820395951
441	0.3819083223
442	0.3818187278
443	0.3817433893
444	0.3816616749
445	0.3815718006
446	0.3815063077
447	0.3814371164
448	0.3813087609
449	0.3811387162
450	0.3810769108
451	0.3809317235
452	0.3808044325
453	0.3806927817
454	0.3806112271
455	0.3805185845
456	0.3804364704
457	0.3803413318
458	0.3802226839
459	0.3801772599
460	0.3801129986
461	0.3800578926
462	0.3799123964
463	0.3798114159
464	0.3797421228
465	0.3796595873
466	0.3795873805
467	0.3795301056
468	0.3794155702
469	0.3793014781
470	0.3791857329
471	0.3791228412
472	0.3790800222
473	0.3790014249
474	0.3789960334
475	0.3789449637
476	0.3788484265
477	0.3787545159
478	0.3787023889
479	0.3785962677
480	0.3785506694
481	0.3784416925
482	0.3783318438
483	0.3782683672
484	0.3781819516
485	0.3780859157
486	0.3779872785
487	0.3778925868
488	0.3777793812
489	0.3776535579
490	0.3775914837
491	0.3775477309
492	0.3774656314
493	0.3773800913
494	0.3773169091
495	0.37722435
496	0.3770933351
497	0.3769796898
498	0.3768960935
499	0.376843705
500	0.3767491186
501	0.3766474043
502	0.3765098099
503	0.3764213998
504	0.3762895784
505	0.3761880675
506	0.3760948
507	0.3759468805
508	0.3758368574
509	0.3757851483
510	0.3757338606
511	0.3756299046
512	0.3755321866
513	0.3754424722
514	0.37537319
515	0.3753696878
516	0.3753210813
517	0.3752567909
518	0.3751768566
519	0.3750239163
520	0.3749174863
521	0.3748288654
522	0.3747125099
523	0.3745944141
524	0.374488282
525	0.374399672
526	0.3743523879
527	0.3742719559
528	0.3741895694
529	0.3741302708
530	0.3740527743
531	0.3739470128
532	0.3738616035
533	0.3737216368
534	0.3736608305
535	0.3735789417
536	0.3735048639
537	0.3734169406
538	0.373305566
539	0.3732217117
540	0.3730590966
541	0.3730115691
542	0.3729231553
543	0.3727519117
544	0.3725959269
545	0.372498198
546	0.3723716554
547	0.3722843933
548	0.3721905627
549	0.372120216
550	0.3719639805
551	0.3718450056
552	0.3717397962
553	0.3716584342
554	0.3716018277
555	0.3715228671
556	0.3714677248
557	0.3714644986
558	0.3713317798
559	0.3712654041
560	0.3711394682
561	0.3710646057
562	0.3709996905
563	0.3709267716
564	0.3708501325
565	0.3707914661
566	0.3706408764
567	0.3705807967
568	0.3705280849
569	0.3704367538
570	0.3703427851
571	0.3702654811
572	0.3701736959
573	0.3700699325
574	0.3699779075
575	0.3699183945
576	0.3698992884
577	0.369848938
578	0.3697458867
579	0.3696780686
580	0.3696074713
581	0.3694861603
582	0.3694018482
583	0.3693107532
584	0.3692021216
585	0.3691016097
586	0.3689432417
587	0.36885546
588	0.3688296218
589	0.3686661239
590	0.3686526271
591	0.3685045297
592	0.3684488751
593	0.3683612642
594	0.3681916954
595	0.3681124333
596	0.3679473877
597	0.3678061204
598	0.3676523081
599	0.3675317128
600	0.3674129668
601	0.3673024641
602	0.3672669765
603	0.3672194563
604	0.3671325139
605	0.3670139567
606	0.3669092269
607	0.3668591854
608	0.3668013364
609	0.3667191169
610	0.3666289448
611	0.3665122477
612	0.3663909803
613	0.3663212331
614	0.3662479255
615	0.3662143053
616	0.3661141459
617	0.3660835193
618	0.365992537
619	0.3658970061
620	0.3657821001
621	0.3656572178
622	0.3656253597
623	0.3655207025
624	0.3654450589
625	0.3653561111
626	0.3653239368
627	0.3652158101
628	0.3651035672
629	0.3649740019
630	0.3648786708
631	0.3647652544
632	0.3646964773
633	0.3646952675
634	0.3645939055
635	0.3645165071
636	0.3644447072
637	0.3643362499
638	0.3642832111
639	0.3641677202
640	0.3640929812
641	0.3640134975
642	0.3639458393
643	0.3638531095
644	0.3637923976
645	0.3637400709
646	0.3636967178
647	0.3636302185
648	0.3635646529
649	0.3634682319
650	0.3634257035
651	0.3633514332
652	0.3632524182
653	0.3632504236
654	0.3631903766
655	0.3630436307
656	0.3629687682
657	0.3628869811
658	0.3627867163
659	0.3627026367
660	0.3625864374
661	0.3625269499
662	0.3624686759
663	0.362404905
664	0.3623456174
665	0.3622227187
666	0.3621155621
667	0.3620200602
668	0.3619443766
669	0.361813231
670	0.3616885267
671	0.3615992083
672	0.3615333666
673	0.3614700317
674	0.3614352998
675	0.3613901956
676	0.3613482848
677	0.3612716602
678	0.3612304324
679	0.3612282998
680	0.3610945892
681	0.360978557
682	0.360879433
683	0.3607831283
684	0.3606699844
685	0.3606180936
686	0.3605181194
687	0.3605152493
688	0.3604328555
689	0.3603727141
690	0.3602765874
691	0.3602247184
692	0.3601467605
693	0.3600814638
694	0.3600068519
695	0.3598563458
696	0.3597380357
697	0.3596455093
698	0.3595330302
699	0.3594741821
700	0.3594188327
701	0.3593591454
702	0.3593290638
703	0.3592252168
704	0.3592041379
705	0.3591464996
706	0.3590474011
707	0.3589953214
708	0.358931536
709	0.3588622647
710	0.3587837692
711	0.3586618478
712	0.3585391926
713	0.3584709313
714	0.358395542
715	0.3583339764
716	0.3582479568
717	0.3581789471
718	0.3581284114
719	0.3580920446
720	0.3580547369
721	0.3579665556
722	0.3578859892
723	0.3577903057
724	0.3577054451
725	0.3576228551
726	0.3575694638
727	0.3574321892
728	0.3574128251
729	0.3573381151
730	0.3572807094
731	0.3571783338
732	0.3570748574
733	0.3569621277
734	0.3568795122
735	0.3567688279
736	0.3567159344
737	0.3566604832
738	0.3565898605
739	0.3564570581
740	0.3563722302
741	0.3562881397
742	0.3561903999
743	0.3561324528
744	0.3560541898
745	0.3559978885
746	0.35593152
747	0.3558467138
748	0.3557663037
749	0.355675463
750	0.3555422683
751	0.3554955219
752	0.3553898984
753	0.3553257061
754	0.3552630579
755	0.3551910219
756	0.3551034655
757	0.3550823829
758	0.3549547395
759	0.3548667653
760	0.3548178319
761	0.3547462863
762	0.3546852039
763	0.354614236
764	0.3545022728
765	0.3544405983
766	0.3543152582
